country,date,consumer confidence,interest rates,unemployment rate
china,2022-08-01,120.5,3.7,5.3
china,2022-09-01,113.2,3.65,5.5
china,2022-10-01,86.7,3.65,5.5
china,2022-11-01,86.8,3.65,5.7
china,2022-12-01,88.9,3.65,5.5
china,2023-01-01,87.9,3.65,5.5
china,2023-02-01,87.0,3.65,5.6
china,2023-03-01,87.2,3.65,5.3
china,2023-04-01,86.8,3.65,5.2
china,2023-05-01,85.5,3.65,5.2
china,2023-06-01,88.3,3.65,5.2
china,2023-07-01,91.2,3.55,5.3
china,2023-08-01,94.7,3.55,5.2
china,2023-09-01,94.9,3.45,5.0
china,2023-10-01,87.9,3.45,5.0
china,2023-11-01,87.0,3.45,5.0
china,2023-12-01,87.6,3.45,5.1
europe,2020-01-01,-7.2,0.0,7.5
europe,2020-02-01,-6.1,0.0,7.4
europe,2020-03-01,-12.3,0.0,7.2
europe,2020-04-01,-24.8,0.0,7.4
europe,2020-05-01,-20.5,0.0,7.6
europe,2020-06-01,-14.6,0.0,8.1
europe,2020-07-01,-14.7,0.0,8.4
europe,2020-08-01,-14.2,0.0,8.6
europe,2020-09-01,-12.8,0.0,8.6
europe,2020-10-01,-14.4,0.0,8.4
europe,2020-11-01,-16.6,0.0,8.2
europe,2020-12-01,-12.1,0.0,8.2
europe,2021-01-01,-13.8,0.0,8.2
europe,2021-02-01,-13.0,0.0,8.2
europe,2021-03-01,-9.8,0.0,8.2
europe,2021-04-01,-10.0,0.0,8.3
europe,2021-05-01,-5.6,0.0,8.1
europe,2021-06-01,-2.2,0.0,7.9
europe,2021-07-01,-3.9,0.0,7.7
europe,2021-08-01,-5.3,0.0,7.5
europe,2021-09-01,-3.6,0.0,7.4
europe,2021-10-01,-5.1,0.0,7.2
europe,2021-11-01,-8.1,0.0,7.1
europe,2021-12-01,-9.2,0.0,7.0
europe,2022-01-01,-9.5,0.0,6.9
europe,2022-02-01,-9.4,0.0,6.8
europe,2022-03-01,-22.0,0.0,6.8
europe,2022-04-01,-22.4,0.0,6.7
europe,2022-05-01,-21.5,0.0,6.7
europe,2022-06-01,-24.1,0.5,6.7
europe,2022-07-01,-27.4,0.5,6.7
europe,2022-08-01,-25.1,1.25,6.7
europe,2022-09-01,-28.6,2.0,6.7
europe,2022-10-01,-27.4,2.0,6.6
europe,2022-11-01,-23.7,2.5,6.6
europe,2022-12-01,-22.1,2.5,6.7
europe,2023-01-01,-20.7,3.0,6.6
