duration,comments,latitude,longitude,year
300.0,5 amber orbs floating at a high rate of speed,41.6022222,-72.9872222,2012
8.0,Bright white orb traveling fast over Bel Air,39.5358333,-76.3486111,2012
4.0,Prior to this event&#44 there was about 25-60 seconds of a very low vibrating hum that was almost piercing because it hit so many decibels,35.7913889,-78.7813889,2012
120.0,It was a blue light in the sky&#44 i was driving home after i drop a friend off in rose park&#44 than i realize that there was a blue light,40.7608333,-111.8902778,2012
1200.0,Puslating Lights&#44 Yellow&#44  Red&#44 Yellow-Object was completely silent,40.2430556,-79.2377778,2012
240.0,Bright star like ufo.,34.22,-85.6077778,2012
600.0,Driving down Broken Land Parkway heading south&#44 my fianc&eacute;e&#44 his cousin who was visiting from out of town and I noticed a formation of a,39.2402778,-76.8397222,2012
900.0,Unidentified box looking object flying across Denver Metropolitan area under intelligent control.,39.7391667,-104.9841667,2012
3.0,Bright glowing sphere moving across sky at extreme speed.,44.4894444,-68.8575,2012
5.0,Greenish bluish object sphere that flashed in the dusk sky and then descended to the Arkansas River Bottom,38.2544444,-104.6086111,2012
10.0,Parallelogram shaped bright&#44 white light low on the horizon&#44 flashed twice.,36.4072222,-105.5725,2012
120.0,EIGHT ORANGE AND RED LIGHTS OVER PEKIN&#44 IL.,40.5675,-89.6405556,2012
900.0,Cluster of red/orange objects ascending into sky,41.2222222,-73.0569444,2012
1500.0,There was a faint dull silver green luminous oval object flying in a clockwise rotation&#44spanning over the river and neighboring houses.,42.2041667,-72.6166667,2012
540.0,9 Orange Circles (Fireballs) seen traveling one group of 5 then 4 moving one at a time in same path,41.2222222,-73.0569444,2012
900.0,Approx 30 lights in formation over Milford ct multiple parachutters at approx 8:30p.,41.2222222,-73.0569444,2012
300.0,Several bright copper-colored lights moving across the sky.,41.7205556,-87.7016667,2012
360.0,Nine objects&#44 fireball when viewed by the eye&#44 cylinderical when viewed through a camera&#44 flew in a straight line,41.595,-72.6458333,2012
300.0,Orange lights,41.5580556,-73.0519444,2012
300.0,Saw 4 oval shape objects with orange/red lights.,40.0088889,-77.1158333,2012
60.0,There were two triangles&#44 each formed by three balls of fire/light. The balls appeared&#44 dissapeared&#44 reappeared and so on as the two tr,30.4505556,-91.1544444,2012
60.0,At approximately 9:45pm EDT tonight&#44 I was driving home from work and spotted two orange light in the sky over Cemetary Road&#44 Mt. Laure,39.9338889,-74.8913889,2012
180.0,12 Redish flying objects over Isle of Palms,32.7866667,-79.795,2012
900.0,I was out taking my dog to go &quot;potty&quot; when I looked up at an object emitting a solid orange-ish light-travelling south to nor,45.3575,-122.6055556,2012
900.0,Very bright red&#44 green&#44 white lights traveling south in an erratic manner directly over Hicks Creek,36.3352778,-92.385,2012
120.0,2 red&#44 silent&#44 flying orbs,35.1083333,-77.0444444,2012
